node,deg,deg_norm,betweenness,eigenvector,pagerank,cluster
constitute,51,0.007371007,8.15E-06,0.007024614,0.000109841,9
constitutional,17,0.002457002,6.37E-08,0.002948931,5.34E-05,7
constraint,20,0.002890591,4.76E-07,0.0031873,6.31E-05,7
constricted,17,0.002457002,6.22E-07,0.002782588,5.63E-05,6
constrictive,17,0.002457002,4.96E-08,0.00272925,6.14E-05,2
construct,20,0.002890591,1.35E-07,0.004019993,5.74E-05,0
consult,289,0.041769042,0.00015021,0.022278684,0.000304993,0
consultant,44,0.0063593,1.82E-05,0.003252111,0.000157646,9
consultation,379,0.054776702,0.000201378,0.0269002,0.0003787,2
consume,189,0.027316086,0.000112741,0.016949439,0.000276806,10
consumer,146,0.021101315,3.68E-05,0.014534301,0.000213103,0
consumption,149,0.021534904,1.68E-05,0.01469217,0.000182184,7
contact,469,0.067784362,0.000630717,0.024233758,0.000411484,2
contain,404,0.058389941,0.000475404,0.025038667,0.000447512,10
container,75,0.010839717,1.39E-05,0.008694967,0.000142631,2
contaminate,17,0.002457002,1.33E-07,0.003285459,5.56E-05,0
contemporary,51,0.007371007,4.54E-06,0.007226149,0.000108046,4
content,248,0.03584333,0.000291955,0.01798607,0.00032786,1
content.5,19,0.002746062,2.44E-07,0.003210678,6.39E-05,4
contentment,17,0.002457002,7.05E-08,0.002924751,5.30E-05,6
contested,19,0.002746062,7.88E-09,0.00405047,5.21E-05,2
context,108,0.015609192,2.32E-05,0.012838777,0.000161411,4
continually,39,0.005636653,7.30E-06,0.005791329,9.82E-05,1
continue,438,0.063303946,0.000290972,0.028821405,0.000412621,6
continuous,64,0.009249892,4.94E-06,0.008966047,0.000124646,7
continuously,54,0.007804596,6.74E-06,0.007605855,0.00011328,2
contraceptive,76,0.010984246,1.11E-05,0.008969419,0.00012016,7
contract,40,0.005781182,3.55E-06,0.005785848,9.93E-05,9
contradict,19,0.002746062,1.96E-07,0.004095569,6.10E-05,4
contraindicate,20,0.002890591,1.42E-07,0.003239286,6.23E-05,7
contraindication,165,0.023847377,2.30E-05,0.016226741,0.000205807,4
contrary,45,0.00650383,1.64E-06,0.006213449,9.48E-05,10
contrast,149,0.021534904,1.87E-05,0.015302199,0.000178663,2
contribute,552,0.079780315,0.000497194,0.029671869,0.00046865,7
contributing,48,0.006937419,6.32E-06,0.005898472,0.000105607,8
contributor,37,0.005347594,6.06E-06,0.005126631,9.75E-05,8
control,680,0.098280098,0.001359919,0.032630682,0.000597641,4
control=,18,0.002601532,1.67E-08,0.00340549,5.07E-05,9
controversial,80,0.011562365,3.90E-06,0.011109883,0.000130996,4
controversy,84,0.012140483,3.77E-05,0.00949404,0.000159927,5
convenience,105,0.015175603,4.16E-05,0.012211581,0.000185472,2
convenient,257,0.037144096,0.000104495,0.021523771,0.00028896,2
conveniently,19,0.002746062,4.96E-08,0.003928108,5.57E-05,2
conventional,19,0.002746062,9.76E-09,0.003453736,5.53E-05,6
conversation,369,0.053331406,0.000178564,0.026232439,0.000365133,0
conversely,92,0.013296719,1.53E-05,0.010338413,0.000152212,7
conversion,92,0.013296719,8.26E-06,0.011238695,0.000145917,7
convert,266,0.038444862,9.37E-05,0.020152525,0.000284263,7
converter,15,0.002167943,7.79E-08,0.002601749,4.96E-05,0
converting,17,0.002457002,5.05E-08,0.003142863,5.69E-05,7
convincing,19,0.002746062,1.40E-07,0.003917246,5.70E-05,0
con’t,19,0.002746062,2.69E-07,0.002104574,7.28E-05,3
cook,15,0.002167943,7.53E-08,0.002607731,5.68E-05,10
cookie,75,0.010839717,5.50E-06,0.01024696,0.000121941,9
coolidge,39,0.005636653,1.27E-05,0.004214705,0.000133242,5
cooney,24,0.003468709,2.01E-06,0.002851415,7.89E-05,5
coordinate,12,0.001734355,0,0.00136491,5.89E-05,9
coordinator,49,0.007081948,1.64E-06,0.007282846,9.57E-05,9
copay,17,0.002457002,2.08E-08,0.003565837,5.05E-05,0
copd,56,0.008093655,2.94E-06,0.007099168,0.000107123,7
cope,65,0.009394421,4.90E-06,0.009336745,0.000115258,0
copper,20,0.002890591,3.12E-07,0.002793327,6.79E-05,10
copulate,19,0.002746062,6.17E-07,0.003079257,6.98E-05,6
copy,83,0.011995953,3.20E-05,0.009220085,0.000148452,7
copyright,44,0.0063593,1.89E-05,0.004817433,0.000125981,9
coralville,18,0.002601532,1.44E-07,0.003219582,6.44E-05,9
core,107,0.015464663,2.28E-05,0.013278723,0.000160089,0
cornerstone,19,0.002746062,4.87E-06,0.002804526,6.58E-05,10
corona,110,0.015898251,9.18E-05,0.009525046,0.000256029,4
coronary,101,0.014597485,1.57E-05,0.011280357,0.000157022,4
corporation,17,0.002457002,5.08E-07,0.002036994,7.51E-05,5
correct,340,0.049140049,0.000166046,0.023548535,0.000312586,0
correction,18,0.002601532,3.97E-08,0.00316369,5.18E-05,4
correctly,88,0.012718601,3.85E-06,0.011280463,0.000128841,0
correlate,84,0.012140483,1.08E-05,0.009808223,0.000139165,4
correlation,101,0.014597485,2.03E-05,0.011123512,0.000158462,9
correspond,48,0.006937419,8.49E-06,0.006474449,0.000100301,6
cortex,51,0.007371007,5.87E-06,0.006294392,0.000116561,7
corticosteroid,38,0.005492123,1.64E-06,0.005904004,7.92E-05,7
corticotropin,13,0.001878884,1.79E-07,0.001709838,5.46E-05,7
cortisol,237,0.034253505,6.83E-05,0.01763655,0.000255615,7
cosmetic,32,0.004624946,6.11E-06,0.004487642,9.26E-05,2
cost,322,0.046538517,0.000160662,0.02365111,0.000331006,2
costly,85,0.012285012,4.93E-06,0.011070457,0.000132054,0
cotton,41,0.005925712,6.13E-06,0.005547691,9.83E-05,2
cough,17,0.002457002,2.23E-07,0.003249497,5.96E-05,2
coughing,34,0.004914005,2.58E-06,0.005354413,8.69E-05,2
counsel,162,0.023413788,1.93E-05,0.016021605,0.000187855,4
counseling,143,0.020667727,6.42E-05,0.014446118,0.000192507,3
counselling,17,0.002457002,1.58E-07,0.002509518,5.94E-05,3
counselor,27,0.003902298,1.69E-07,0.004835575,6.71E-05,6
count,510,0.073710074,0.000378812,0.023242616,0.000372328,7
counter,235,0.033964446,0.000109307,0.019131845,0.000272846,0
counteract,51,0.007371007,7.91E-07,0.007376666,9.27E-05,6
counterintuitive,19,0.002746062,3.29E-08,0.003401532,5.67E-05,6
counterpart,17,0.002457002,2.37E-08,0.003546229,5.19E-05,2
counterproductive,19,0.002746062,1.60E-07,0.003407116,6.02E-05,10
countless,36,0.005203064,3.56E-07,0.005488994,6.88E-05,6
country,144,0.020812256,0.000182961,0.014581991,0.000218466,0
county,38,0.005492123,3.61E-06,0.005555192,9.02E-05,0
couple,261,0.037722214,0.000229342,0.020858672,0.000305013,0
course,271,0.03916751,0.000185704,0.020621167,0.000300102,0
courtesy,55,0.007949126,4.14E-05,0.006485767,0.000135224,8
cover,341,0.049284579,0.000357269,0.024388043,0.000380532,2
coverage,34,0.004914005,1.80E-06,0.005767721,7.23E-05,0
covid,37,0.005347594,9.75E-06,0.004692267,0.000106282,3
covid-19,172,0.024859084,9.84E-05,0.014221308,0.000261583,9
covington,19,0.002746062,1.70E-06,0.001369966,0.000102176,9
cow,35,0.005058534,4.30E-06,0.005228069,9.65E-05,0
coward,20,0.002890591,1.81E-06,0.001866399,9.23E-05,5
cpap,59,0.008527244,7.83E-06,0.007667691,0.000111699,7
cpt,22,0.00317965,1.19E-06,0.003459269,7.46E-05,0
cqc,74,0.010695187,8.95E-06,0.00922593,0.000136942,2
crack,19,0.002746062,6.21E-08,0.003302141,5.41E-05,0
craft,36,0.005203064,1.50E-07,0.006436212,7.02E-05,6
craniofacial,18,0.002601532,1.79E-07,0.002625055,6.76E-05,9
craniopharyngioma,18,0.002601532,1.20E-08,0.003165038,5.39E-05,7
crank,20,0.002890591,4.71E-07,0.003161889,6.58E-05,7
crash,79,0.011417835,1.63E-05,0.010617029,0.00014253,0
crazy,35,0.005058534,1.56E-06,0.006068408,7.92E-05,0
cream,476,0.068796069,0.000544569,0.027308419,0.000451037,2
creams,18,0.002601532,1.96E-08,0.003356714,4.96E-05,2
creamy,19,0.002746062,2.95E-07,0.003309981,6.33E-05,2
create,472,0.068217951,0.00059484,0.028840345,0.000491778,2
creatinine,19,0.002746062,3.48E-07,0.001895491,8.44E-05,7
creation,36,0.005203064,1.10E-06,0.005556814,8.22E-05,4
creativity,20,0.002890591,3.42E-08,0.003812635,6.21E-05,0
credential,37,0.005347594,2.30E-06,0.005838535,8.92E-05,2
crisis,93,0.013441249,1.00E-05,0.011423792,0.000160198,0
crisp,19,0.002746062,2.44E-07,0.003242152,6.48E-05,10
criteria.411,18,0.002601532,1.53E-07,0.003263211,5.63E-05,4
criterion,222,0.032085561,5.49E-05,0.019016511,0.000251899,4
critical,236,0.034108975,9.28E-05,0.019392067,0.000266232,6
critically,35,0.005058534,7.96E-07,0.005517633,8.20E-05,9
critter,19,0.002746062,6.03E-08,0.003424831,6.09E-05,0
cross,53,0.007660066,5.52E-05,0.005854337,0.000136055,5
crown,17,0.002457002,3.94E-07,0.002687041,6.40E-05,7
crucial,287,0.041479983,7.34E-05,0.02222525,0.000281432,2
crucially,17,0.002457002,1.67E-08,0.003117251,5.14E-05,6
crude,19,0.002746062,5.66E-07,0.002953202,5.97E-05,4
cry,24,0.003468709,7.26E-08,0.004343862,6.71E-05,0
cryptorchidism,64,0.009249892,2.35E-05,0.006703385,0.000141078,7
crystal,19,0.002746062,3.00E-07,0.002476059,7.91E-05,11
crystalize,15,0.002167943,1.43E-08,0.002917803,4.91E-05,2
crystalline,17,0.002457002,1.58E-07,0.00289378,6.23E-05,2
crystallised,16,0.002312473,8.50E-08,0.002788645,5.30E-05,10
crystallography,20,0.002890591,2.09E-06,0.003371533,6.98E-05,11
cua,66,0.009538951,8.79E-06,0.008520993,0.000137349,4
cuaj,113,0.01633184,4.20E-05,0.010717846,0.000210182,4
cuban,19,0.002746062,3.28E-08,0.003793366,5.88E-05,0
cue,18,0.002601532,1.58E-07,0.003535525,5.26E-05,7
cuff,19,0.002746062,1.26E-07,0.003335989,6.41E-05,2
cui,20,0.002890591,1.13E-07,0.002995062,6.40E-05,6
culley,20,0.002890591,7.07E-07,0.001864139,9.26E-05,5
culprit,33,0.004769475,8.98E-08,0.005289047,6.62E-05,7
cultivate,35,0.005058534,1.62E-06,0.005467821,9.10E-05,6
cultural,54,0.007804596,4.95E-06,0.007718026,0.000114503,6
culturally,20,0.002890591,6.32E-07,0.003442156,5.89E-05,6
culture,81,0.011706894,1.92E-05,0.01048698,0.000147214,0
cumbersome,20,0.002890591,3.63E-07,0.003408096,6.41E-05,2
cumbria,19,0.002746062,4.18E-07,0.0022528,7.81E-05,9
cumulative,56,0.008093655,2.20E-06,0.007877506,9.90E-05,4
cunningham,82,0.011851424,0.000172356,0.005615623,0.000237071,5
cup,17,0.002457002,2.85E-07,0.002610602,6.18E-05,10
cure,192,0.027749675,2.69E-05,0.017582971,0.000214791,0
curiosity,50,0.007226478,7.64E-07,0.007525727,9.48E-05,4
curious,81,0.011706894,2.55E-05,0.009348231,0.000161572,0
curr,19,0.002746062,6.16E-07,0.001940236,8.29E-05,5
current,520,0.075155369,0.000456034,0.03451388,0.000487998,4
currently,301,0.043503396,0.000154279,0.023767172,0.000327767,2
curvature,32,0.004624946,5.70E-06,0.004096253,9.71E-05,2
curve,18,0.002601532,2.31E-07,0.002712912,6.79E-05,2
cushe,20,0.002890591,9.07E-08,0.003275562,6.35E-05,7
cushing,18,0.002601532,2.40E-08,0.002870508,4.97E-05,7
custom,37,0.005347594,2.32E-06,0.006184119,8.26E-05,2
customer,33,0.004769475,1.43E-06,0.005846799,7.57E-05,4
customise,20,0.002890591,2.64E-08,0.003945262,5.40E-05,2
customizable,20,0.002890591,7.84E-07,0.003519298,7.06E-05,9
customization,62,0.008960832,3.05E-06,0.008880189,9.72E-05,2
customize,142,0.020523197,9.02E-06,0.015644803,0.000163967,2
cut,198,0.028616852,3.75E-05,0.01832853,0.000224731,4
cutoff,82,0.011851424,9.46E-06,0.009998339,0.000148312,4
cutter,77,0.011128776,5.44E-06,0.010541127,0.00012594,9
cvd,109,0.015753722,6.27E-05,0.011333191,0.000194396,4
cycle,249,0.03598786,5.86E-05,0.021416495,0.000268199,6
cycling,15,0.002167943,1.86E-08,0.002478481,5.10E-05,2
cyp3a4,18,0.002601532,7.51E-08,0.003539612,5.50E-05,7
cypinate,16,0.002312473,5.21E-08,0.002855367,5.83E-05,2
cypionate,198,0.028616852,5.11E-05,0.017406242,0.000233688,2
cypre,20,0.002890591,1.25E-07,0.002857156,6.78E-05,9
czub,40,0.005781182,4.02E-05,0.004676173,0.000127578,9
d.c,19,0.002746062,5.97E-08,0.002745104,7.06E-05,9
d.c.—has,18,0.002601532,2.84E-08,0.003636201,5.61E-05,9
dab,19,0.002746062,1.52E-07,0.003591745,6.42E-05,0
dabaja,148,0.021390374,2.92E-05,0.01435072,0.000176604,9
dad,16,0.002312473,1.20E-09,0.003228475,4.46E-05,0
daily,562,0.081225611,0.000860047,0.032148595,0.000532942,2
daily.432,20,0.002890591,1.01E-06,0.003091467,7.00E-05,2
dairy,40,0.005781182,5.37E-06,0.005382223,0.000108467,10
dalhousie,10,0.001445296,7.98E-09,0.001159263,5.82E-05,9
damage,306,0.044226044,0.000116707,0.021047267,0.00029646,7
damaging,48,0.006937419,4.86E-06,0.006557977,0.000103315,7
dampen,19,0.002746062,4.48E-08,0.003826223,5.34E-05,6
dan,19,0.002746062,1.14E-07,0.002910945,6.37E-05,5
dane,18,0.002601532,9.45E-07,0.002559505,6.54E-05,9
danger,104,0.015031074,6.01E-05,0.011166736,0.000197361,10
dangerous,221,0.031941032,8.92E-05,0.018478971,0.000273294,0
daniel,40,0.005781182,0.000224945,0.003479707,0.000141,9
dansville,16,0.002312473,1.08E-07,0.001126463,8.68E-05,9
dark,126,0.018210724,0.000111305,0.012130423,0.000217487,10
darn,16,0.002312473,1.95E-08,0.003644737,4.76E-05,0
data,31,0.004480416,4.03E-07,0.004825025,6.60E-05,6
database,63,0.009105362,1.87E-05,0.006976477,0.000148591,4
dataset,20,0.002890591,4.43E-07,0.003615545,6.38E-05,4
date,263,0.038011273,0.00042054,0.020490946,0.000340672,4
datum,546,0.078913138,0.000600051,0.03219475,0.000532506,4
daunt,20,0.002890591,4.50E-07,0.003567579,5.68E-05,0
daviau,20,0.002890591,2.64E-05,0.001202216,0.000101815,5
david,57,0.008238185,7.83E-05,0.005287861,0.000170866,9
davisfor,17,0.002457002,5.40E-08,0.002793045,5.42E-05,6
day,914,0.132100014,0.002198877,0.039068685,0.000725799,2
daytime,19,0.002746062,2.14E-09,0.003682148,4.91E-05,6
dc10,20,0.002890591,1.45E-06,0.002542328,7.67E-05,5
dea,19,0.002746062,1.11E-07,0.003763616,6.11E-05,2
deactivation,38,0.005492123,5.72E-06,0.005405459,9.81E-05,2
dead,15,0.002167943,1.23E-08,0.002993022,5.06E-05,0
deadline,18,0.002601532,1.65E-07,0.003876574,5.51E-05,6
deaf,18,0.002601532,5.83E-08,0.00310935,5.38E-05,0
deal,202,0.02919497,6.99E-05,0.017927906,0.000240828,0
dear,47,0.006792889,1.94E-06,0.007181208,9.15E-05,0
dearborn,13,0.001878884,3.10E-07,0.002085628,5.27E-05,9
death,134,0.019366961,2.84E-05,0.013060625,0.000191448,4
death.64,31,0.004480416,4.53E-07,0.005452555,7.23E-05,4
"death.70,71",19,0.002746062,1.40E-07,0.003279339,5.83E-05,4
"deaths/1,000",16,0.002312473,9.54E-08,0.002970077,5.03E-05,4
debate,29,0.004191357,4.37E-08,0.005290582,5.68E-05,0
debilitate,50,0.007226478,3.48E-06,0.006870203,9.46E-05,6
deborah,20,0.002890591,1.97E-06,0.000572179,0.000116781,5
debunk,46,0.00664836,8.15E-07,0.006828428,8.53E-05,0
decade,310,0.044804162,0.00019386,0.023256915,0.000343687,9
deceased,19,0.002746062,7.60E-07,0.003084128,5.68E-05,4
december,40,0.005781182,3.84E-05,0.003148576,0.000151404,9
decent,33,0.004769475,2.27E-07,0.005801645,6.82E-05,0
decide,388,0.056077468,0.000187748,0.02669632,0.000344717,0
deciliter,189,0.027316086,4.33E-05,0.01444559,0.000195066,4
decision,410,0.059257118,0.00025514,0.028247366,0.000397935,0
declaration,13,0.001878884,4.40E-08,0.00257395,5.20E-05,2
decline,669,0.096690273,0.000763717,0.028484395,0.000506883,6
decrease,939,0.135713253,0.002300611,0.031778314,0.000662808,6
decreased,54,0.007804596,3.26E-06,0.006577414,0.000110729,4
dedicate,136,0.01965602,2.92E-05,0.013870317,0.000183232,4
dedicated,50,0.007226478,3.98E-07,0.008279996,8.48E-05,0
deduplication,17,0.002457002,2.39E-08,0.003493378,5.89E-05,4
deem,69,0.009972539,2.96E-06,0.010276226,0.000120884,2
deep,269,0.038878451,0.000195775,0.021286482,0.000318705,7
deepen,34,0.004914005,6.59E-07,0.004886311,7.15E-05,7
deepening,99,0.014308426,6.99E-06,0.010002475,0.000126586,6
deeply,77,0.011128776,8.14E-06,0.009738607,0.000131035,0
default,16,0.002312473,8.26E-09,0.003266396,4.76E-05,2
defect,76,0.010984246,2.47E-05,0.008201174,0.000121258,7
defer,19,0.002746062,5.49E-08,0.003464402,5.67E-05,2
deficiency,1240,0.17921665,0.00470232,0.038378367,0.000874679,4
deficient,208,0.030062148,2.95E-05,0.018452953,0.000217615,4
"deficient,2",16,0.002312473,7.08E-08,0.003214658,5.04E-05,4
defied,18,0.002601532,2.23E-06,0.002586431,6.73E-05,11
define,355,0.051307992,0.000208347,0.024879285,0.000358357,4
definite,25,0.003613239,1.42E-07,0.004308039,6.81E-05,4
definitely,149,0.021534904,2.86E-05,0.015846879,0.000190537,0
definition,132,0.019077901,2.95E-05,0.013181888,0.000172986,4
definitive,142,0.020523197,2.03E-05,0.01519557,0.000183959,4
definitively,95,0.013730308,6.38E-06,0.011604451,0.000142257,4
deformity,18,0.002601532,2.60E-07,0.002693356,6.84E-05,2
defy,462,0.066772655,0.000363641,0.028323516,0.000414581,2
degeneration,18,0.002601532,2.05E-08,0.003133765,5.49E-05,7
degree,273,0.039456569,0.000161477,0.020764491,0.000299725,4
degroot,23,0.00332418,1.42E-06,0.002606284,8.89E-05,5
dehydrate,19,0.002746062,3.19E-07,0.002850771,6.99E-05,0
dehydration,42,0.006070241,4.30E-06,0.006068429,9.56E-05,4
dehydroepiandrosterone,83,0.011995953,6.68E-06,0.009130769,0.00013664,7
delatestryl,36,0.005203064,2.64E-06,0.005003442,9.90E-05,2
delaware,17,0.002457002,1.75E-08,0.00245116,6.61E-05,9
delay,282,0.040757335,0.00018154,0.019740299,0.000333659,7
delayed,66,0.009538951,2.05E-06,0.008059765,0.000105766,7
deleterious,14,0.002023414,1.21E-08,0.002540449,4.38E-05,4
delicate,65,0.009394421,6.75E-06,0.009049604,0.000120595,2
delicious,16,0.002312473,7.81E-08,0.002821314,5.31E-05,10
deliver,460,0.066483596,0.00039488,0.029515284,0.000454997,2
delivery,418,0.060413355,0.000303491,0.027358576,0.000397639,2
delphi,16,0.002312473,2.00E-08,0.003326254,5.51E-05,2
delve,67,0.00968348,4.90E-06,0.009842059,0.00011532,0
demand,135,0.01951149,2.76E-05,0.015018773,0.000204124,0
dementia,19,0.002746062,1.14E-07,0.003791421,5.58E-05,6
demographic,51,0.007371007,4.40E-06,0.007184489,0.000112688,4
demonstrate,316,0.04567134,0.000273514,0.023689486,0.00038619,2
demotivate,19,0.002746062,1.61E-07,0.003633015,6.03E-05,10
dennerstein,17,0.002457002,1.25E-06,0.002319192,7.05E-05,6
denote,33,0.004769475,2.29E-07,0.005533345,6.77E-05,2
dense,36,0.005203064,9.85E-07,0.005872865,7.93E-05,10
densitometry,17,0.002457002,3.85E-09,0.003167531,4.60E-05,7
density,478,0.069085128,0.000314157,0.023796684,0.000373734,6
dental,39,0.005636653,2.22E-06,0.00585095,9.05E-05,9
deny,36,0.005203064,2.13E-06,0.005765481,8.34E-05,0
deodorant,14,0.002023414,1.17E-08,0.002230575,5.57E-05,2
department,309,0.044659633,0.00063847,0.01844261,0.000425195,9
depend,582,0.084116202,0.000456909,0.030217582,0.000436162,2
dependant,19,0.002746062,1.31E-07,0.003057792,5.62E-05,4
dependent,98,0.014163897,1.63E-05,0.01186699,0.000164209,4
depersonalisation,30,0.004335887,7.11E-08,0.004609985,6.62E-05,6
depo,35,0.005058534,2.35E-06,0.00498844,9.13E-05,2
deposit,33,0.004769475,2.02E-06,0.004577215,8.87E-05,6
depot,48,0.006937419,6.88E-07,0.007432826,8.54E-05,2
depotestosterone,18,0.002601532,7.48E-08,0.003245827,5.95E-05,2
depress,48,0.006937419,3.09E-07,0.006935769,7.77E-05,6
depressed,181,0.02615985,2.63E-05,0.016121364,0.000210414,6
depression,604,0.087295852,0.000684681,0.027970853,0.000470517,6
depressive,113,0.01633184,6.93E-06,0.011340173,0.000135951,6
deprivation,86,0.012429542,2.30E-05,0.010261614,0.000156079,7
deprive,30,0.004335887,5.61E-07,0.00495914,6.98E-05,7
depth,177,0.025581731,2.99E-05,0.018159645,0.000209776,0
derail,33,0.004769475,1.42E-07,0.005700953,6.23E-05,6
derive,34,0.004914005,7.37E-07,0.005770277,8.04E-05,4
dermatologist,31,0.004480416,3.93E-07,0.005554742,7.60E-05,9
dermatology,66,0.009538951,1.51E-05,0.007691306,0.000138569,9
desai,16,0.002312473,7.71E-08,0.002656396,5.75E-05,9
descend,33,0.004769475,8.43E-06,0.004031899,8.51E-05,7
descent,16,0.002312473,6.24E-08,0.002876477,5.44E-05,7
describe,217,0.031362914,6.11E-05,0.017426447,0.000224739,6
"described.446,447",19,0.002746062,7.35E-08,0.003649517,5.75E-05,2
description,29,0.004191357,1.38E-05,0.004044367,8.41E-05,0
deserve,37,0.005347594,4.59E-06,0.00560594,8.83E-05,6
design,405,0.05853447,0.00030417,0.027938868,0.000397784,4
desire,463,0.066917185,0.000339565,0.027194238,0.000403274,6
despite,393,0.056800116,0.000315534,0.027059191,0.000425548,4
dessert,48,0.006937419,2.19E-05,0.004803594,0.000137714,10
destination,17,0.002457002,6.51E-08,0.002917207,5.73E-05,9
destruction,18,0.002601532,2.66E-07,0.002816446,6.26E-05,7
detach,16,0.002312473,4.97E-08,0.002930542,5.16E-05,2
detail,247,0.0356988,0.000176982,0.020593118,0.000283133,0
detailed,150,0.021679433,2.98E-05,0.016357796,0.000206392,4
detect,133,0.019222431,2.56E-05,0.01353033,0.000186496,4
detection,53,0.007660066,1.73E-06,0.008018527,0.000101945,7
deter,20,0.002890591,6.33E-08,0.003834631,5.55E-05,6
deteriorate,32,0.004624946,1.02E-06,0.004730627,7.42E-05,6
deterioration,71,0.010261598,1.11E-05,0.008083862,0.000123538,6
determinant,37,0.005347594,8.19E-06,0.004803155,9.68E-05,3
determination,72,0.010406128,8.29E-06,0.009025384,0.000122774,6
determine,521,0.075299899,0.000533678,0.028011395,0.000416285,4
detrimental,37,0.005347594,2.98E-07,0.005640726,7.39E-05,0
detroit,8,0.001156236,0,0.00124779,4.13E-05,9
detrusor,17,0.002457002,3.86E-08,0.003104269,5.58E-05,4
devastating,47,0.006792889,3.91E-06,0.007023826,0.000101674,6
develop,717,0.103627692,0.001242465,0.03227592,0.000568533,7
development,569,0.082237318,0.000743061,0.028582565,0.000507494,7
developmental,63,0.009105362,3.38E-06,0.008357764,0.000109367,7
device,223,0.032230091,0.000144749,0.019096118,0.000297694,2
devise,19,0.002746062,6.01E-09,0.003896669,4.82E-05,6
devote,19,0.002746062,8.42E-08,0.003432604,5.81E-05,4
dewitte,20,0.002890591,4.30E-07,0.002834619,8.27E-05,5
dhaliwal,47,0.006792889,1.93E-05,0.004961023,0.000142844,5
dhea,155,0.022402081,3.05E-05,0.013915651,0.000194969,7
dheas,19,0.002746062,5.71E-08,0.002694669,5.98E-05,7
dhindsa,18,0.002601532,1.85E-07,0.002541843,6.31E-05,9
dht,312,0.045093222,0.000135696,0.022028163,0.000320149,7
diabete,460,0.066483596,0.000918189,0.02435059,0.000456646,7
diabetes,586,0.08469432,0.000969473,0.027955185,0.000511114,7
diabetes.wang,20,0.002890591,7.84E-07,0.002538659,7.57E-05,5
diabetic,136,0.01965602,3.09E-05,0.013703098,0.000196773,7
diagnose,683,0.098713687,0.000798981,0.030765733,0.000509946,4
diagnosis,735,0.106229224,0.001547479,0.032620311,0.000595984,4
diagnostic,344,0.049718167,0.000639633,0.024458861,0.000409539,4
dial,39,0.005636653,2.99E-06,0.005256399,9.26E-05,2
dialysis,49,0.007081948,3.37E-06,0.006834302,9.97E-05,4
diameter,19,0.002746062,2.15E-08,0.003693891,5.67E-05,6
dian,18,0.002601532,8.65E-07,0.002275845,7.82E-05,9
diana,20,0.002890591,3.61E-06,0.000838154,0.00011845,5
diarrhea,19,0.002746062,8.32E-08,0.002906532,5.95E-05,7
dictate,20,0.002890591,1.69E-08,0.004249205,5.76E-05,0
dictionary,19,0.002746062,1.90E-07,0.003301607,6.37E-05,6
die,87,0.012574071,1.01E-05,0.009987451,0.000139154,0
diego,13,0.001878884,8.19E-08,0.001893026,6.01E-05,9
diem,19,0.002746062,2.91E-07,0.003510979,6.16E-05,4
diet,691,0.099869923,0.001280076,0.0329174,0.000590652,10
dietary,168,0.024280965,5.42E-05,0.015854476,0.000228923,10
dietician,19,0.002746062,1.04E-07,0.003504543,6.17E-05,9
dietitian,89,0.012863131,1.92E-05,0.010714752,0.00015405,9
dietry,19,0.002746062,9.12E-09,0.004043413,5.19E-05,2
differ,131,0.018933372,2.95E-05,0.013025341,0.000180375,7
difference,545,0.078768608,0.000584974,0.032630272,0.00048357,0
different,798,0.115334586,0.001022675,0.035877358,0.000552857,0
differential,18,0.002601532,4.28E-08,0.003516763,5.28E-05,4
differentially,19,0.002746062,3.44E-07,0.003010032,6.30E-05,7
differentiation,36,0.005203064,4.44E-06,0.004944687,9.50E-05,7
differently,115,0.016620899,6.08E-06,0.013069615,0.00013973,2
difficult,360,0.05203064,0.000159725,0.024897839,0.000337203,0
difficulty,402,0.058100882,0.000222876,0.024054562,0.000353064,6
diffract,18,0.002601532,6.00E-07,0.00251641,7.40E-05,11
dig,20,0.002890591,8.39E-08,0.003900694,6.15E-05,0
digest,19,0.002746062,3.71E-07,0.002850498,6.99E-05,10
digestion,18,0.002601532,3.82E-08,0.003163664,5.20E-05,7
digestive,99,0.014308426,3.43E-05,0.010328277,0.0001832,9
digital,243,0.035120682,9.19E-05,0.02062146,0.000268233,0
dignify,19,0.002746062,1.38E-07,0.003461464,5.37E-05,6
dihydrotestosterone,166,0.023991906,1.52E-05,0.016425916,0.000206501,7
dilate,32,0.004624946,1.18E-06,0.004958449,8.53E-05,6
dilemma,19,0.002746062,1.09E-08,0.004091904,5.38E-05,4
diligence,37,0.005347594,1.94E-07,0.006818106,7.28E-05,2
diminish,85,0.012285012,5.17E-06,0.010476173,0.000127576,6
diminished,17,0.002457002,4.41E-09,0.003286004,4.60E-05,7
diminution,19,0.002746062,5.90E-08,0.00344157,5.82E-05,7
dinner,37,0.005347594,1.88E-05,0.00423427,0.000109637,10
dioxide,18,0.002601532,3.12E-08,0.002933149,5.93E-05,7
dip,135,0.01951149,1.95E-05,0.014090848,0.000170595,7
dip.fipt,45,0.00650383,4.87E-06,0.006022276,0.000101438,9
direct,343,0.049573638,0.000178257,0.024142666,0.000349941,2
direction,119,0.017199017,2.49E-05,0.013865944,0.000184092,0
directive,24,0.003468709,1.47E-07,0.003703381,6.86E-05,4
directly,435,0.062870357,0.000283379,0.028321684,0.000400202,2
director,152,0.021968493,0.00010093,0.012169778,0.000232287,9
dirty,17,0.002457002,6.12E-08,0.003130643,5.34E-05,0
disability,67,0.00968348,7.80E-06,0.008829536,0.000120838,4
