node,stability_so_far
allan,0.55
mclachlin,0.55
jameson,0.55
groot,0.55
fate,0.45
squat,0.495
elsevi,0.55
kretser,0.55
saunder,0.55
incl,0.445
lipids,0.445
roaccutane,0.305
sunlight,0.305
bitch,0.335
tit,0.335
beginner,0.225
explainer,0.22
cue,0.43
mirror,0.415
cycling,0.315
resurface,0.315
advantageous,0.405
prematurely,0.405
cypinate,0.335
simply:-,0.335
dignify,0.24
ethically,0.24
circle,0.325
procreate,0.325
strange,0.325
fertilizer,0.435
shutdown,0.435
leaching,0.435
entitled,0.43
taker,0.43
grossly,0.435
immunity,0.435
pesticide,0.435
chasing,0.435
d’etre,0.43
junior,0.43
witness,0.43
niche,0.43
raison,0.43
earth,0.43
skill,0.43
disappointing,0.295
mimics,0.295
eureka,0.43
fullness,0.315
assumption,0.43
miracle,0.43
strapline,0.43
spectacular,0.43
additive,0.25
improperly,0.25
conception,0.345
unreasonable,0.36
constraint,0.345
feasible,0.345
unachievable,0.345
manager,0.285
pcm,0.285
aas,0.435
haematochromatosis,0.435
comb,0.43
mane,0.43
intracranial,0.435
chitchat,0.43
bubble,0.335
syringe,0.335
angle,0.335
destruction,0.435
bump,0.43
blvd,0.18
positas,0.18
las,0.18
stanfordhealthcare.org,0.21
technical,0.21
hostile,0.27
personality,0.27
jean,0.4
m.b.a,0.4
calcification,0.255
hopkin,0.255
exemestane,0.34
lazy,0.34
experiment,0.395
organize,0.395
interactive,0.295
invaluable,0.285
aetiology,0.435
panhypopituitarism,0.435
psychiatric,0.375
recruit,0.37
disruptor,0.37
allowance,0.575
rda,0.575
cmd,0.4
timothy,0.4
abbott,0.385
solvay,0.385
laboratories,0.385
proc,0.515
pubmed.ncbi.nlm.nih.gov/27313122/.,0.51
dubious,0.31
nearby,0.415
ag030644,0.405
u01,0.405
diego,0.405
minnesota,0.405
genotypically,0.435
phenotypically,0.435
puget,0.405
alabama,0.405
birmingham,0.405
feinberg,0.405
brigham,0.405
bilateral,0.435
albert,0.405
einstein,0.405
caveat,0.36
inherently,0.415
disseminate,0.43
handout,0.43
comforting,0.35
globe,0.41
c.p.t,0.405
r.d,0.405
trainer,0.405
blye,0.425
elyse,0.425
arthur,0.36
patrick,0.36
walsh,0.36
alive,0.375
ritual,0.375
gathering,0.375
demotivate,0.7
retired,0.705
plate,0.705
starch,0.705
serving,0.705
fulfill,0.435
oomph,0.435
dream,0.43
boyle,0.25
lyon,0.25
reframe,0.59
tradeoff,0.575
1improvement,0.41
2improved,0.41
3improved,0.41
4improved,0.4
5increased,0.4
authentically,0.325
undermine,0.33
6increase,0.4
sleuthing,0.33
dietician,0.36
tandem,0.36
companion,0.33
thickness,0.4
7improve,0.4
8improve,0.4
construct,0.425
sufficiency,0.425
9increase,0.385
excite,0.345
joyful,0.34
passionate,0.27
j.a,0.24
mendonça,0.24
frustrated,0.43
nagging,0.42
e2348692,0.24
pp.e2348692,0.24
almeida,0.24
ferreira,0.24
aboriginal,0.29
strait,0.29
islander,0.29
psychosis,0.51
schizophrenia,0.51
bulimia,0.51
khan,0.55
lucia,0.55
m.a,0.55
preston,0.55
s.e,0.55
torre,0.29
socialize,0.275
undiagnosed,0.27
g.r,0.55
bachelor,0.4
sheffield,0.4
fulfil,0.405
o’leary,0.55
socialization,0.425
untrue,0.43
scholarship,0.405
elizabethtown,0.405
t.g,0.55
travison,0.55
accusation,0.43
steer,0.43
hon,0.405
dps,0.405
bsc,0.405
p.1512268,0.55
frsa,0.405
mbcs,0.405
minstlm,0.405
mrsb,0.405
biotech,0.405
insensitive,0.435
insensitivity,0.435
40s-60s,0.39
60s-80s,0.39
imagen,0.405
drain,0.43
wrecked,0.43
organisation,0.29
accho,0.29
sectional,0.55
treating,0.41
wasting,0.41
grubhub,0.43
helping,0.38
netflix,0.43
cui,0.365
zhang,0.365
shen,0.365
gao,0.365
13a,0.41
parkview,0.41
toledo,0.27
undergrad,0.305
accredit,0.255
ukas,0.255
loyola,0.2
kadali,0.16
lalitha,0.16
chew,0.335
pouch,0.335
startedtestosterone,0.255
reconstruction,0.205
haven,0.4
stanton.honig@yale.edu,0.4
orchard,0.4
cornerstone,0.705
tweak,0.705
stew,0.705
juice,0.705
auaer,0.22
ucf,0.22
seared,0.705
embark,0.34
gently,0.345
software,0.22
upload,0.22
bake,0.705
precipitously,0.43
uniformly,0.43
infrastructure,0.22
garage,0.43
popup,0.43
blossom,0.43
counterproductive,0.695
sabotage,0.69
compatible,0.705
cook,0.705
allergic,0.59
taste,0.59
licensable,0.45
promotional,0.28
kindly,0.335
omit,0.335
sacrifice,0.59
keith,0.47
kprice@auanet.org,0.475
validity,0.485
eurycoma,0.46
longifolia,0.46
namesake,0.46
caffeine,0.695
pilz,0.695
cup,0.695
eurycomanone,0.46
ius,0.695
allude,0.495
asia,0.655
originating,0.655
confederacion,0.165
unabridged,0.165
americana,0.165
urologia,0.165
par,0.685
superfood,0.685
india,0.685
ayurveda,0.685
cau,0.165
algorithm,0.165
delicious,0.685
inversely,0.685
kurtz,0.545
landon,0.545
bruce,0.545
redmon,0.545
kelly,0.545
chiles,0.545
aphrodisiac,0.705
symbol,0.705
diameter,0.385
millimeter,0.385
cartoon,0.575
popeye,0.57
character,0.575
gout,0.705
purine,0.705
sterilize,0.705
mercury,0.705
deborah,0.545
lightner,0.545
martin,0.545
miner,0.545
hassan,0.545
automated,0.435
interplay,0.435
preservative,0.705
dea,0.425
inspection,0.41
murad,0.545
hello,0.43
microphone,0.43
presumably,0.705
yolk,0.705
predate,0.33
uneasy,0.33
monosaturate,0.675
virgin,0.68
moroccan,0.705
elizabeth,0.545
heartburn,0.43
omeprazole,0.43
platz,0.545
scd,0.545
mph,0.545
surprisingly,0.43
marc,0.43
unc,0.43
lakshmi,0.545
bioactive,0.25
load,0.25
ramanathan,0.545
gimmicky,0.43
untested,0.43
staple,0.685
sustainably,0.555
boast,0.685
lewis,0.545
executive,0.545
pressed,0.43
flank,0.39
vomiting,0.39
bimix,0.335
quadmix,0.335
hum,0.43
disintegrate,0.335
sauna,0.45
tub,0.45
whirlpool,0.45
troche,0.335
myers,0.29
writer,0.29
umiami,0.29
wyatt,0.29
nandrolone,0.335
stanozolol,0.335
oxandrolone,0.335
creativity,0.43
probe,0.43
goodrx,0.43
singlecare,0.43
backfire,0.4
candle,0.405
beer,0.395
laden,0.395
insult,0.395
mid-20,0.395
johnson,0.39
respectful,0.39
devote,0.335
establishment,0.34
dane,0.39
golf,0.305
grass,0.3
hyperestrogenemia,0.33
recurrence,0.33
mucosal,0.335
mucous,0.335
broadcast,0.195
pkg,0.19
categorization,0.35
conceptually,0.35
